SetName,Cycle,Time_S,Size_mm,Displacement_mm,,Force_N
Stretch,1-Stretch,98.16,80.07,39.128,1.95569342,-0.025
Stretch,1-Stretch,98.36,80.152,39.21,1.957696253,-0.224
Stretch,1-Stretch,98.56,80.234,39.292,1.959699087,-0.224
Stretch,1-Stretch,98.76,80.315,39.373,1.961677495,-0.025
Stretch,1-Stretch,98.96,80.398,39.456,1.963704753,-0.423
Stretch,1-Stretch,99.16,80.48,39.538,1.965707586,-0.224
Stretch,1-Stretch,99.36,80.562,39.62,1.96771042,-0.025
Stretch,1-Stretch,99.56,80.644,39.702,1.969713253,-0.423
Stretch,1-Stretch,99.76,80.726,39.784,1.971716086,-0.124
Stretch,1-Stretch,99.96,80.808,39.866,1.973718919,-0.224
Stretch,1-Stretch,100.16,80.89,39.948,1.975721753,-0.324
Stretch,1-Stretch,100.36,80.972,40.03,1.977724586,-0.025
Stretch,1-Stretch,100.56,81.054,40.112,1.979727419,-0.423
Stretch,1-Stretch,100.76,81.136,40.194,1.981730253,-0.224
Stretch,1-Stretch,100.96,81.218,40.276,1.983733086,-0.124
Stretch,1-Stretch,101.16,81.3,40.358,1.985735919,-0.423
Stretch,1-Stretch,101.36,81.383,40.441,1.987763177,-0.124
Stretch,1-Stretch,101.56,81.464,40.522,1.989741586,-0.324
Stretch,1-Stretch,101.76,81.546,40.604,1.991744419,-0.324
Stretch,1-Stretch,101.96,81.629,40.687,1.993771677,-0.025
Stretch,1-Stretch,102.16,81.711,40.769,1.99577451,-0.423
Stretch,1-Stretch,102.36,81.792,40.85,1.997752919,-0.224
Stretch,1-Stretch,102.56,81.874,40.932,1.999755752,-0.124
