SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Stretch,24.200,49.917,9.474,1.426
Stretch,1-Stretch,24.400,49.998,9.555,1.724
Stretch,1-Stretch,24.600,50.079,9.636,1.625
Stretch,1-Stretch,24.800,50.16,9.717,2.023
Stretch,1-Stretch,25.000,50.241,9.798,1.824
Stretch,1-Stretch,25.200,50.322,9.879,2.122
Stretch,1-Stretch,25.400,50.403,9.96,2.023
Stretch,1-Stretch,25.600,50.484,10.041,1.824
Stretch,1-Stretch,25.800,50.553,10.11,2.122
Stretch,1-Stretch,26.000,50.621,10.178,1.923
Stretch,1-Stretch,26.200,50.702,10.259,1.923
Stretch,1-Stretch,26.400,50.782,10.339,2.122
Stretch,1-Stretch,26.600,50.864,10.421,2.122
Stretch,1-Stretch,26.800,50.945,10.502,2.222
Stretch,1-Stretch,27.000,51.026,10.583,2.222
Stretch,1-Stretch,27.200,51.107,10.664,2.222
Stretch,1-Stretch,27.400,51.188,10.745,2.222
Stretch,1-Stretch,27.600,51.269,10.826,1.923
Stretch,1-Stretch,27.800,51.35,10.907,1.824
Stretch,1-Stretch,28.000,51.431,10.988,1.923
Stretch,1-Stretch,28.200,51.512,11.069,2.023
Stretch,1-Stretch,28.400,51.593,11.15,1.923
Stretch,1-Stretch,28.600,51.674,11.231,2.222
Stretch,1-Stretch,28.800,51.755,11.312,2.222
Stretch,1-Stretch,29.000,51.836,11.393,2.222
Stretch,1-Stretch,29.200,51.918,11.475,2.222
Stretch,1-Stretch,29.400,51.998,11.555,2.222
Stretch,1-Stretch,29.600,52.079,11.636,2.222
Stretch,1-Stretch,29.800,52.16,11.717,2.222
Stretch,1-Stretch,30.000,52.242,11.799,2.222
Stretch,1-Stretch,30.200,52.323,11.88,2.322
Stretch,1-Stretch,30.400,52.404,11.961,2.421
Stretch,1-Stretch,30.600,52.485,12.042,2.222
Stretch,1-Stretch,30.800,52.566,12.123,2.521
Stretch,1-Stretch,31.000,52.647,12.204,2.521
Stretch,1-Stretch,31.200,52.728,12.285,2.322
Stretch,1-Stretch,31.400,52.809,12.366,2.620
Stretch,1-Stretch,31.600,52.89,12.447,2.322
Stretch,1-Stretch,31.800,52.971,12.528,2.421
Stretch,1-Stretch,32.000,53.052,12.609,2.620
Stretch,1-Stretch,32.200,53.133,12.69,2.222
Stretch,1-Stretch,32.400,53.214,12.771,2.620
Stretch,1-Stretch,32.600,53.295,12.852,2.819
Stretch,1-Stretch,32.800,53.376,12.933,2.720
Stretch,1-Stretch,33.000,53.457,13.014,2.919
Stretch,1-Stretch,33.200,53.539,13.096,2.720
Stretch,1-Stretch,33.400,53.619,13.176,3.018
Stretch,1-Stretch,33.600,53.701,13.258,3.018
Stretch,1-Stretch,33.800,53.781,13.338,3.018
Stretch,1-Stretch,34.000,53.863,13.42,3.018
Stretch,1-Stretch,34.200,53.944,13.501,3.018
Stretch,1-Stretch,34.400,54.025,13.582,3.018
Stretch,1-Stretch,34.600,54.106,13.663,3.018
Stretch,1-Stretch,34.800,54.187,13.744,3.018
Stretch,1-Stretch,35.000,54.268,13.825,3.018
Stretch,1-Stretch,35.200,54.349,13.906,3.018
Stretch,1-Stretch,35.400,54.43,13.987,3.018
Stretch,1-Stretch,35.600,54.511,14.068,3.018
Stretch,1-Stretch,35.800,54.592,14.149,3.018
Stretch,1-Stretch,36.000,54.673,14.23,3.018
Stretch,1-Stretch,36.200,54.754,14.311,3.018
Stretch,1-Stretch,36.400,54.835,14.392,3.018
Stretch,1-Stretch,36.600,54.916,14.473,3.018
Stretch,1-Stretch,36.800,54.997,14.554,3.018
Stretch,1-Stretch,37.000,55.078,14.635,3.018
Stretch,1-Stretch,37.200,55.16,14.717,3.018
Stretch,1-Stretch,37.400,55.241,14.798,3.018
Stretch,1-Stretch,37.600,55.322,14.879,3.018
Stretch,1-Stretch,37.800,55.402,14.959,3.018
Stretch,1-Stretch,38.000,55.484,15.041,3.018
Stretch,1-Stretch,38.200,55.565,15.122,3.018
Stretch,1-Stretch,38.400,55.646,15.203,3.018
Stretch,1-Stretch,38.600,55.727,15.284,3.018
Stretch,1-Stretch,38.800,55.808,15.365,3.018
Stretch,1-Stretch,39.000,55.889,15.446,3.018
Stretch,1-Stretch,39.200,55.97,15.527,3.018
Stretch,1-Stretch,39.400,56.051,15.608,3.018
Stretch,1-Stretch,39.600,56.132,15.689,3.018
Stretch,1-Stretch,39.800,56.213,15.77,3.018
Stretch,1-Stretch,40.000,56.294,15.851,2.919
Stretch,1-Stretch,40.200,56.375,15.932,2.919
Stretch,1-Stretch,40.400,56.456,16.013,2.720
Stretch,1-Stretch,40.600,56.538,16.095,2.620
Stretch,1-Stretch,40.800,56.618,16.175,2.720
Stretch,1-Stretch,41.000,56.699,16.256,2.720
Stretch,1-Stretch,41.200,56.78,16.337,2.421
Stretch,1-Stretch,41.400,56.862,16.419,2.421
Stretch,1-Stretch,41.600,56.943,16.5,2.521
Stretch,1-Stretch,41.800,57.024,16.581,2.222
Stretch,1-Stretch,42.000,57.105,16.662,2.521
Stretch,1-Stretch,42.200,57.186,16.743,2.521
Stretch,1-Stretch,42.400,57.267,16.824,2.222
Stretch,1-Stretch,42.600,57.348,16.905,2.421
Stretch,1-Stretch,42.800,57.429,16.986,2.222
Stretch,1-Stretch,43.000,57.51,17.067,2.222
Stretch,1-Stretch,43.200,57.591,17.148,2.222
Stretch,1-Stretch,43.400,57.672,17.229,2.222
Stretch,1-Stretch,43.600,57.753,17.31,2.222
Stretch,1-Stretch,43.800,57.834,17.391,1.923
Stretch,1-Stretch,44.000,57.915,17.472,1.824
Stretch,1-Stretch,44.200,57.996,17.553,2.222
Stretch,1-Stretch,44.400,58.077,17.634,2.122
Stretch,1-Stretch,44.600,58.159,17.716,2.023
Stretch,1-Stretch,44.800,58.24,17.797,1.724
Stretch,1-Stretch,45.000,58.321,17.878,1.724
Stretch,1-Stretch,45.200,58.401,17.958,1.426
Stretch,1-Stretch,45.400,58.483,18.04,1.326
Stretch,1-Stretch,45.600,58.564,18.121,1.326
Stretch,1-Stretch,45.800,58.645,18.202,1.027
Stretch,1-Stretch,46.000,58.726,18.283,0.928
Stretch,1-Stretch,46.200,58.807,18.364,0.629
Stretch,1-Stretch,46.400,58.888,18.445,0.629
Stretch,1-Stretch,46.600,58.969,18.526,0.530
Stretch,1-Stretch,46.800,59.05,18.607,0.331
Stretch,1-Stretch,47.000,59.131,18.688,0.331
Stretch,1-Stretch,47.200,59.212,18.769,0.530
Stretch,1-Stretch,47.400,59.293,18.85,0.231
Stretch,1-Stretch,47.600,59.374,18.931,-0.167
Stretch,1-Stretch,47.800,59.455,19.012,0.032
Stretch,1-Stretch,48.000,59.536,19.093,0.131
Stretch,1-Stretch,48.200,59.617,19.174,-0.167
Stretch,1-Stretch,48.400,59.698,19.255,0.032
Stretch,1-Stretch,48.600,59.78,19.337,-0.068
Stretch,1-Stretch,48.800,59.861,19.418,-0.068
Stretch,1-Stretch,49.000,59.942,19.499,0.231
Stretch,1-Stretch,49.200,60.023,19.58,-0.068
Stretch,1-Stretch,49.400,60.104,19.661,0.032
Stretch,1-Stretch,49.600,60.185,19.742,0.231
Stretch,1-Stretch,49.800,60.266,19.823,-0.167
Stretch,1-Stretch,50.000,60.347,19.904,0.131
Stretch,1-Stretch,50.200,60.428,19.985,-0.068
Stretch,1-Stretch,50.400,60.509,20.066,-0.068
Stretch,1-Stretch,50.600,60.59,20.147,0.131
Stretch,1-Stretch,50.800,60.665,20.222,-0.167
Stretch,1-Stretch,51.000,60.725,20.282,0.032
Stretch,1-Stretch,51.200,60.806,20.363,0.131
Stretch,1-Stretch,51.400,60.888,20.445,-0.167
Stretch,1-Stretch,51.600,60.969,20.526,0.131
Stretch,1-Stretch,51.800,61.05,20.607,-0.068
Stretch,1-Stretch,52.000,61.131,20.688,-0.068
Stretch,1-Stretch,52.200,61.212,20.769,0.231
Stretch,1-Stretch,52.400,61.293,20.85,-0.068
Stretch,1-Stretch,52.600,61.374,20.931,0.032
Stretch,1-Stretch,52.800,61.455,21.012,0.131
Stretch,1-Stretch,53.000,61.536,21.093,-0.167
Stretch,1-Stretch,53.200,61.617,21.174,0.131
Stretch,1-Stretch,53.400,61.698,21.255,0.032
Stretch,1-Stretch,53.600,61.779,21.336,-0.068
Stretch,1-Stretch,53.800,61.86,21.417,0.231
Stretch,1-Stretch,54.000,61.941,21.498,-0.068
Stretch,1-Stretch,54.200,62.022,21.579,0.032
Stretch,1-Stretch,54.400,62.103,21.66,0.131
Stretch,1-Stretch,54.600,62.184,21.741,-0.167
Stretch,1-Stretch,54.800,62.265,21.822,0.131
Stretch,1-Stretch,55.000,62.346,21.903,-0.068
Stretch,1-Stretch,55.200,62.427,21.984,-0.068
Stretch,1-Stretch,55.400,62.509,22.066,0.131
Stretch,1-Stretch,55.600,62.589,22.146,-0.167
Stretch,1-Stretch,55.800,62.67,22.227,0.032
Stretch,1-Stretch,56.000,62.751,22.308,0.131
Stretch,1-Stretch,56.200,62.833,22.39,-0.167
Stretch,1-Stretch,56.400,62.914,22.471,0.131
Stretch,1-Stretch,56.600,62.995,22.552,0.032
Stretch,1-Stretch,56.800,63.076,22.633,-0.068
Stretch,1-Stretch,57.000,63.157,22.714,0.231
Stretch,1-Stretch,57.200,63.238,22.795,-0.167
Stretch,1-Stretch,57.400,63.319,22.876,0.032
Stretch,1-Stretch,57.600,63.4,22.957,0.131
Stretch,1-Stretch,57.800,63.481,23.038,-0.167
Stretch,1-Stretch,58.000,63.562,23.119,0.032
Stretch,1-Stretch,58.200,63.643,23.2,0.131
Stretch,1-Stretch,58.400,63.724,23.281,-0.068
Stretch,1-Stretch,58.600,63.805,23.362,0.231
Stretch,1-Stretch,58.800,63.886,23.443,-0.068
Stretch,1-Stretch,59.000,63.967,23.524,0.032
Stretch,1-Stretch,59.200,64.048,23.605,0.032
Stretch,1-Stretch,59.400,64.129,23.686,-0.167
Stretch,1-Stretch,59.600,64.21,23.767,0.131
Stretch,1-Stretch,59.800,64.291,23.848,-0.068
Stretch,1-Stretch,60.000,64.372,23.929,-0.068
Stretch,1-Stretch,60.200,64.454,24.011,0.231
Stretch,1-Stretch,60.400,64.534,24.091,-0.167
Stretch,1-Stretch,60.600,64.615,24.172,0.032
Stretch,1-Stretch,60.800,64.697,24.254,0.032
Stretch,1-Stretch,61.000,64.778,24.335,-0.167
Stretch,1-Stretch,61.200,64.859,24.416,0.131
Stretch,1-Stretch,61.400,64.94,24.497,0.131
Stretch,1-Stretch,61.600,65.021,24.578,-0.068
Stretch,1-Stretch,61.800,65.102,24.659,0.231
Stretch,1-Stretch,62.000,65.183,24.74,-0.167
Stretch,1-Stretch,62.200,65.264,24.821,-0.068
Stretch,1-Stretch,62.400,65.345,24.902,0.131
Stretch,1-Stretch,62.600,65.426,24.983,-0.167
Stretch,1-Stretch,62.800,65.507,25.064,0.032
Stretch,1-Stretch,63.000,65.588,25.145,0.032
Stretch,1-Stretch,63.200,65.669,25.226,-0.068
Stretch,1-Stretch,63.400,65.75,25.307,0.231
Stretch,1-Stretch,63.600,65.831,25.388,-0.068
Stretch,1-Stretch,63.800,65.912,25.469,0.032
Stretch,1-Stretch,64.000,65.993,25.55,0.231
Stretch,1-Stretch,64.200,66.074,25.631,-0.167
Stretch,1-Stretch,64.400,66.155,25.712,0.131
Stretch,1-Stretch,64.600,66.236,25.793,0.131
Stretch,1-Stretch,64.800,66.317,25.874,-0.167
Stretch,1-Stretch,65.000,66.399,25.956,0.131
Stretch,1-Stretch,65.200,66.479,26.036,-0.068
Stretch,1-Stretch,65.400,66.56,26.117,0.032
Stretch,1-Stretch,65.600,66.642,26.199,0.231
Stretch,1-Stretch,65.800,66.723,26.28,-0.167
Stretch,1-Stretch,66.000,66.804,26.361,0.032
Stretch,1-Stretch,66.200,66.885,26.442,-0.068
Stretch,1-Stretch,66.400,66.966,26.523,-0.068
Stretch,1-Stretch,66.600,67.047,26.604,0.131
Stretch,1-Stretch,66.800,67.128,26.685,-0.167
Stretch,1-Stretch,67.000,67.209,26.766,0.032
Stretch,1-Stretch,67.200,67.29,26.847,0.131
Stretch,1-Stretch,67.400,67.371,26.928,-0.167
Stretch,1-Stretch,67.600,67.452,27.009,0.032
Stretch,1-Stretch,67.800,67.533,27.09,0.131
Stretch,1-Stretch,68.000,67.614,27.171,-0.068
Stretch,1-Stretch,68.200,67.695,27.252,0.231
Stretch,1-Stretch,68.400,67.776,27.333,-0.068
Stretch,1-Stretch,68.600,67.857,27.414,0.032
Stretch,1-Stretch,68.800,67.938,27.495,0.231
Stretch,1-Stretch,69.000,68.019,27.576,-0.167
Stretch,1-Stretch,69.200,68.1,27.657,0.131
Stretch,1-Stretch,69.400,68.181,27.738,0.032
Stretch,1-Stretch,69.600,68.262,27.819,-0.068
Stretch,1-Stretch,69.800,68.344,27.901,0.131
Stretch,1-Stretch,70.000,68.425,27.982,-0.068
Stretch,1-Stretch,70.200,68.505,28.062,0.032
Stretch,1-Stretch,70.400,68.587,28.144,-0.068
Stretch,1-Stretch,70.600,68.668,28.225,-0.167
Stretch,1-Stretch,70.800,68.749,28.306,0.032
Stretch,1-Stretch,71.000,68.83,28.387,0.032
Stretch,1-Stretch,71.200,68.911,28.468,-0.167
Stretch,1-Stretch,71.400,68.992,28.549,0.032
Stretch,1-Stretch,71.600,69.073,28.63,-0.167
Stretch,1-Stretch,71.800,69.154,28.711,-0.068
Stretch,1-Stretch,72.000,69.235,28.792,0.032
Stretch,1-Stretch,72.200,69.316,28.873,-0.167
Stretch,1-Stretch,72.400,69.397,28.954,0.131
Stretch,1-Stretch,72.600,69.478,29.035,-0.068
Stretch,1-Stretch,72.800,69.559,29.116,-0.167
Stretch,1-Stretch,73.000,69.64,29.197,0.231
Stretch,1-Stretch,73.200,69.721,29.278,-0.167
Stretch,1-Stretch,73.400,69.802,29.359,0.032
Stretch,1-Stretch,73.600,69.883,29.44,-0.068
Stretch,1-Stretch,73.800,69.964,29.521,-0.167
Stretch,1-Stretch,74.000,70.045,29.602,0.032
Stretch,1-Stretch,74.200,70.126,29.683,-0.068
Stretch,1-Stretch,74.400,70.208,29.765,-0.068
Stretch,1-Stretch,74.600,70.289,29.846,0.131
Stretch,1-Stretch,74.800,70.37,29.927,-0.068
Stretch,1-Stretch,75.000,70.451,30.008,-0.068
Stretch,1-Stretch,75.200,70.532,30.089,0.032
Stretch,1-Stretch,75.400,70.613,30.17,-0.167
Stretch,1-Stretch,75.600,70.694,30.251,0.131
Stretch,1-Stretch,75.800,70.773,30.33,-0.068
Stretch,1-Stretch,76.000,70.829,30.386,-0.068
Stretch,1-Stretch,76.200,70.91,30.467,0.231
Stretch,1-Stretch,76.400,70.991,30.548,-0.068
Stretch,1-Stretch,76.600,71.071,30.628,0.032
Stretch,1-Stretch,76.800,71.153,30.71,0.131
Stretch,1-Stretch,77.000,71.234,30.791,-0.167
Stretch,1-Stretch,77.200,71.315,30.872,0.131
Stretch,1-Stretch,77.400,71.396,30.953,-0.068
Stretch,1-Stretch,77.600,71.477,31.034,-0.068
Stretch,1-Stretch,77.800,71.558,31.115,0.131
Stretch,1-Stretch,78.000,71.639,31.196,-0.068
Stretch,1-Stretch,78.200,71.72,31.277,-0.068
Stretch,1-Stretch,78.400,71.801,31.358,0.131
Stretch,1-Stretch,78.600,71.882,31.439,-0.167
Stretch,1-Stretch,78.800,71.963,31.52,0.131
Stretch,1-Stretch,79.000,72.044,31.601,0.032
Stretch,1-Stretch,79.200,72.125,31.682,-0.167
Stretch,1-Stretch,79.400,72.207,31.764,-0.068
Stretch,1-Stretch,79.600,72.287,31.844,-0.068
