SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,40.424,0,0.231
Stretch,1-Preload,0.200,40.424,0,-0.167
Stretch,1-Preload,0.400,40.432,0.008,0.131
Stretch,1-Preload,0.600,40.443,0.019,0.032
Stretch,1-Stretch,0.800,40.443,0,0.032
Stretch,1-Stretch,1.000,40.516,0.073,0.131
Stretch,1-Stretch,1.200,40.597,0.154,-0.068
Stretch,1-Stretch,1.400,40.678,0.235,0.032
Stretch,1-Stretch,1.600,40.759,0.316,0.231
Stretch,1-Stretch,1.800,40.84,0.397,-0.167
Stretch,1-Stretch,2.000,40.921,0.478,0.131
Stretch,1-Stretch,2.200,41.002,0.559,-0.068
Stretch,1-Stretch,2.400,41.083,0.64,-0.068
Stretch,1-Stretch,2.600,41.165,0.722,0.231
Stretch,1-Stretch,2.800,41.245,0.802,-0.068
Stretch,1-Stretch,3.000,41.326,0.883,0.032
Stretch,1-Stretch,3.200,41.407,0.964,0.032
Stretch,1-Stretch,3.400,41.489,1.046,-0.167
Stretch,1-Stretch,3.600,41.57,1.127,0.131
Stretch,1-Stretch,3.800,41.651,1.208,-0.068
Stretch,1-Stretch,4.000,41.731,1.288,-0.068
Stretch,1-Stretch,4.200,41.813,1.37,0.231
Stretch,1-Stretch,4.400,41.894,1.451,-0.167
Stretch,1-Stretch,4.600,41.975,1.532,-0.068
Stretch,1-Stretch,4.800,42.056,1.613,0.131
Stretch,1-Stretch,5.000,42.137,1.694,-0.167
Stretch,1-Stretch,5.200,42.218,1.775,0.131
Stretch,1-Stretch,5.400,42.299,1.856,-0.167
Stretch,1-Stretch,5.600,42.38,1.937,-0.068
Stretch,1-Stretch,5.800,42.461,2.018,0.231
Stretch,1-Stretch,6.000,42.542,2.099,-0.068
Stretch,1-Stretch,6.200,42.623,2.18,0.032
Stretch,1-Stretch,6.400,42.704,2.261,0.131
Stretch,1-Stretch,6.600,42.785,2.342,-0.167
Stretch,1-Stretch,6.800,42.866,2.423,0.131
Stretch,1-Stretch,7.000,42.947,2.504,-0.068
Stretch,1-Stretch,7.200,43.028,2.585,-0.068
Stretch,1-Stretch,7.400,43.11,2.667,0.231
Stretch,1-Stretch,7.600,43.19,2.747,-0.068
Stretch,1-Stretch,7.800,43.271,2.828,0.032
Stretch,1-Stretch,8.000,43.352,2.909,0.231
Stretch,1-Stretch,8.200,43.434,2.991,-0.167
Stretch,1-Stretch,8.400,43.515,3.072,0.131
Stretch,1-Stretch,8.600,43.596,3.153,0.032
Stretch,1-Stretch,8.800,43.676,3.233,-0.068
Stretch,1-Stretch,9.000,43.758,3.315,0.231
Stretch,1-Stretch,9.200,43.839,3.396,-0.068
Stretch,1-Stretch,9.400,43.92,3.477,0.032
Stretch,1-Stretch,9.600,44.001,3.558,0.032
Stretch,1-Stretch,9.800,44.082,3.639,-0.167
Stretch,1-Stretch,10.000,44.163,3.72,0.131
Stretch,1-Stretch,10.200,44.244,3.801,0.032
Stretch,1-Stretch,10.400,44.325,3.882,-0.068
Stretch,1-Stretch,10.600,44.406,3.963,0.231
Stretch,1-Stretch,10.800,44.487,4.044,-0.167
Stretch,1-Stretch,11.000,44.568,4.125,0.032
Stretch,1-Stretch,11.200,44.649,4.206,0.131
Stretch,1-Stretch,11.400,44.73,4.287,-0.167
Stretch,1-Stretch,11.600,44.811,4.368,0.131
Stretch,1-Stretch,11.800,44.892,4.449,0.032
Stretch,1-Stretch,12.000,44.973,4.53,-0.068
Stretch,1-Stretch,12.200,45.055,4.612,0.131
Stretch,1-Stretch,12.400,45.135,4.692,-0.068
Stretch,1-Stretch,12.600,45.216,4.773,0.032
Stretch,1-Stretch,12.800,45.297,4.854,0.131
Stretch,1-Stretch,13.000,45.379,4.936,-0.068
Stretch,1-Stretch,13.200,45.46,5.017,0.231
Stretch,1-Stretch,13.400,45.541,5.098,-0.068
Stretch,1-Stretch,13.600,45.622,5.179,-0.068
Stretch,1-Stretch,13.800,45.703,5.26,0.131
Stretch,1-Stretch,14.000,45.784,5.341,0.231
Stretch,1-Stretch,14.200,45.865,5.422,0.131
Stretch,1-Stretch,14.400,45.946,5.503,0.331
Stretch,1-Stretch,14.600,46.027,5.584,0.331
Stretch,1-Stretch,14.800,46.108,5.665,0.331
Stretch,1-Stretch,15.000,46.189,5.746,0.430
Stretch,1-Stretch,15.200,46.27,5.827,0.530
Stretch,1-Stretch,15.400,46.351,5.908,0.331
Stretch,1-Stretch,15.600,46.432,5.989,0.430
Stretch,1-Stretch,15.800,46.513,6.07,0.430
Stretch,1-Stretch,16.000,46.594,6.151,0.331
Stretch,1-Stretch,16.200,46.675,6.232,0.530
Stretch,1-Stretch,16.400,46.756,6.313,0.331
Stretch,1-Stretch,16.600,46.837,6.394,0.430
Stretch,1-Stretch,16.800,46.918,6.475,0.530
Stretch,1-Stretch,17.000,47,6.557,0.231
Stretch,1-Stretch,17.200,47.08,6.637,0.530
Stretch,1-Stretch,17.400,47.161,6.718,0.430
Stretch,1-Stretch,17.600,47.242,6.799,0.430
Stretch,1-Stretch,17.800,47.324,6.881,0.530
Stretch,1-Stretch,18.000,47.405,6.962,0.530
Stretch,1-Stretch,18.200,47.486,7.043,0.629
Stretch,1-Stretch,18.400,47.567,7.124,0.629
Stretch,1-Stretch,18.600,47.648,7.205,0.629
Stretch,1-Stretch,18.800,47.729,7.286,0.629
Stretch,1-Stretch,19.000,47.81,7.367,0.629
Stretch,1-Stretch,19.200,47.891,7.448,0.629
Stretch,1-Stretch,19.400,47.972,7.529,0.629
Stretch,1-Stretch,19.600,48.053,7.61,0.629
Stretch,1-Stretch,19.800,48.134,7.691,0.629
Stretch,1-Stretch,20.000,48.215,7.772,0.729
Stretch,1-Stretch,20.200,48.296,7.853,0.729
Stretch,1-Stretch,20.400,48.377,7.934,0.828
Stretch,1-Stretch,20.600,48.458,8.015,0.928
Stretch,1-Stretch,20.800,48.539,8.096,1.027
Stretch,1-Stretch,21.000,48.62,8.177,1.326
Stretch,1-Stretch,21.200,48.701,8.258,1.127
Stretch,1-Stretch,21.400,48.782,8.339,1.226
Stretch,1-Stretch,21.600,48.863,8.42,1.326
Stretch,1-Stretch,21.800,48.945,8.502,1.027
Stretch,1-Stretch,22.000,49.025,8.582,1.226
Stretch,1-Stretch,22.200,49.106,8.663,1.226
Stretch,1-Stretch,22.400,49.187,8.744,1.127
Stretch,1-Stretch,22.600,49.269,8.826,1.426
Stretch,1-Stretch,22.800,49.35,8.907,1.426
Stretch,1-Stretch,23.000,49.431,8.988,1.326
Stretch,1-Stretch,23.200,49.512,9.069,1.426
Stretch,1-Stretch,23.400,49.593,9.15,1.426
Stretch,1-Stretch,23.600,49.674,9.231,1.326
Stretch,1-Stretch,23.800,49.755,9.312,1.426
Stretch,1-Stretch,24.000,49.836,9.393,1.426
