SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,37.056,0,0.029
Stretch,1-Preload,0.200,37.056,0,0.128
Stretch,1-Preload,0.400,37.056,0,-0.170
Stretch,1-Stretch,0.470,37.056,0,-0.071
Stretch,1-Stretch,0.670,37.122,0.066,0.029
Stretch,1-Stretch,0.870,37.197,0.141,0.128
Stretch,1-Stretch,1.070,37.271,0.215,-0.071
Stretch,1-Stretch,1.270,37.345,0.289,0.128
Stretch,1-Stretch,1.470,37.419,0.363,0.128
Stretch,1-Stretch,1.670,37.494,0.438,0.228
Stretch,1-Stretch,1.870,37.568,0.512,0.228
Stretch,1-Stretch,2.070,37.642,0.586,0.427
Stretch,1-Stretch,2.270,37.716,0.66,0.427
Stretch,1-Stretch,2.470,37.791,0.735,0.228
Stretch,1-Stretch,2.670,37.865,0.809,0.527
Stretch,1-Stretch,2.870,37.939,0.883,0.328
Stretch,1-Stretch,3.070,38.013,0.957,0.328
Stretch,1-Stretch,3.270,38.088,1.032,0.527
Stretch,1-Stretch,3.470,38.162,1.106,0.228
Stretch,1-Stretch,3.670,38.236,1.18,0.427
Stretch,1-Stretch,3.870,38.31,1.254,0.427
Stretch,1-Stretch,4.070,38.385,1.329,0.427
Stretch,1-Stretch,4.270,38.459,1.403,0.626
Stretch,1-Stretch,4.470,38.533,1.477,0.527
Stretch,1-Stretch,4.670,38.607,1.551,0.626
Stretch,1-Stretch,4.870,38.682,1.626,0.626
Stretch,1-Stretch,5.070,38.756,1.7,0.626
Stretch,1-Stretch,5.270,38.83,1.774,0.626
Stretch,1-Stretch,5.470,38.905,1.849,0.626
Stretch,1-Stretch,5.670,38.979,1.923,0.726
Stretch,1-Stretch,5.870,39.053,1.997,0.825
Stretch,1-Stretch,6.070,39.127,2.071,0.726
Stretch,1-Stretch,6.270,39.202,2.146,1.024
Stretch,1-Stretch,6.470,39.276,2.22,1.323
Stretch,1-Stretch,6.670,39.35,2.294,1.024
Stretch,1-Stretch,6.870,39.424,2.368,1.223
Stretch,1-Stretch,7.070,39.499,2.443,1.223
Stretch,1-Stretch,7.270,39.573,2.517,1.024
Stretch,1-Stretch,7.470,39.647,2.591,1.323
Stretch,1-Stretch,7.670,39.721,2.665,1.223
Stretch,1-Stretch,7.870,39.796,2.74,1.223
Stretch,1-Stretch,8.070,39.87,2.814,1.423
Stretch,1-Stretch,8.270,39.944,2.888,1.423
Stretch,1-Stretch,8.470,40.018,2.962,1.423
Stretch,1-Stretch,8.670,40.093,3.037,1.423
Stretch,1-Stretch,8.870,40.167,3.111,1.423
Stretch,1-Stretch,9.070,40.241,3.185,1.522
Stretch,1-Stretch,9.270,40.315,3.259,1.721
Stretch,1-Stretch,9.470,40.39,3.334,1.821
Stretch,1-Stretch,9.670,40.464,3.408,2.119
Stretch,1-Stretch,9.870,40.538,3.482,1.821
Stretch,1-Stretch,10.070,40.612,3.556,2.020
Stretch,1-Stretch,10.270,40.687,3.631,2.020
Stretch,1-Stretch,10.470,40.761,3.705,1.920
Stretch,1-Stretch,10.670,40.835,3.779,2.119
Stretch,1-Stretch,10.870,40.909,3.853,2.219
Stretch,1-Stretch,11.070,40.984,3.928,2.219
Stretch,1-Stretch,11.270,41.058,4.002,2.219
Stretch,1-Stretch,11.470,41.132,4.076,2.020
Stretch,1-Stretch,11.670,41.207,4.151,1.821
Stretch,1-Stretch,11.870,41.281,4.225,2.119
Stretch,1-Stretch,12.070,41.355,4.299,2.219
Stretch,1-Stretch,12.270,41.429,4.373,2.219
Stretch,1-Stretch,12.470,41.504,4.448,2.219
Stretch,1-Stretch,12.670,41.578,4.522,2.219
Stretch,1-Stretch,12.870,41.652,4.596,2.219
Stretch,1-Stretch,13.070,41.726,4.67,2.418
Stretch,1-Stretch,13.270,41.801,4.745,2.319
Stretch,1-Stretch,13.470,41.875,4.819,2.418
Stretch,1-Stretch,13.670,41.949,4.893,2.617
Stretch,1-Stretch,13.870,42.023,4.967,2.617
Stretch,1-Stretch,14.070,42.098,5.042,2.816
Stretch,1-Stretch,14.270,42.172,5.116,2.916
Stretch,1-Stretch,14.470,42.246,5.19,3.015
Stretch,1-Stretch,14.670,42.32,5.264,3.015
Stretch,1-Stretch,14.870,42.395,5.339,3.015
Stretch,1-Stretch,15.070,42.469,5.413,3.115
Stretch,1-Stretch,15.270,42.543,5.487,3.215
Stretch,1-Stretch,15.470,42.617,5.561,3.015
Stretch,1-Stretch,15.670,42.692,5.636,3.314
Stretch,1-Stretch,15.870,42.766,5.71,3.215
Stretch,1-Stretch,16.070,42.84,5.784,3.712
Stretch,1-Stretch,16.270,42.914,5.858,3.613
Stretch,1-Stretch,16.470,42.989,5.933,3.712
Stretch,1-Stretch,16.670,43.063,6.007,3.812
Stretch,1-Stretch,16.870,43.137,6.081,3.812
Stretch,1-Stretch,17.070,43.211,6.155,3.812
Stretch,1-Stretch,17.270,43.286,6.23,4.011
Stretch,1-Stretch,17.470,43.36,6.304,3.911
Stretch,1-Stretch,17.670,43.434,6.378,3.812
Stretch,1-Stretch,17.870,43.509,6.453,3.812
Stretch,1-Stretch,18.070,43.583,6.527,3.812
Stretch,1-Stretch,18.270,43.657,6.601,4.210
Stretch,1-Stretch,18.470,43.731,6.675,4.110
