SetName,Cycle,Time_S,Size_mm,Displacement_mm,Lambda,Force_N
Stretch,1-Stretch,88.12,71.319,33.171,1.869534445,0.103
Stretch,1-Stretch,88.32,71.396,33.248,1.871552899,0.103
Stretch,1-Stretch,88.52,71.472,33.324,1.87354514,0.103
Stretch,1-Stretch,88.72,71.549,33.401,1.875563594,0.103
Stretch,1-Stretch,88.92,71.625,33.477,1.877555835,0.103
Stretch,1-Stretch,89.12,71.701,33.553,1.879548076,0.103
Stretch,1-Stretch,89.32,71.778,33.63,1.88156653,0.103
Stretch,1-Stretch,89.52,71.855,33.707,1.883584985,0.103
Stretch,1-Stretch,89.72,71.931,33.783,1.885577226,0.103
Stretch,1-Stretch,89.92,72.007,33.859,1.887569466,0.103
Stretch,1-Stretch,90.12,72.084,33.936,1.889587921,0.103
Stretch,1-Stretch,90.32,72.16,34.012,1.891580161,0.103
Stretch,1-Stretch,90.52,72.237,34.089,1.893598616,0.103
Stretch,1-Stretch,90.72,72.313,34.165,1.895590857,0.103
Stretch,1-Stretch,90.92,72.39,34.242,1.897609311,0.103
Stretch,1-Stretch,91.12,72.466,34.318,1.899601552,0.103
Stretch,1-Stretch,91.32,72.543,34.395,1.901620006,0.103
Stretch,1-Stretch,91.52,72.619,34.471,1.903612247,0.103
Stretch,1-Stretch,91.72,72.695,34.547,1.905604488,0.103
Stretch,1-Stretch,91.92,72.772,34.624,1.907622942,0.103
Stretch,1-Stretch,92.12,72.848,34.7,1.909615183,0.103
Stretch,1-Stretch,92.32,72.925,34.777,1.911633637,-0.097
Stretch,1-Stretch,92.52,73.001,34.853,1.913625878,0.103
Stretch,1-Stretch,92.72,73.078,34.93,1.915644333,0.103
Stretch,1-Stretch,92.92,73.154,35.006,1.917636573,0.103
Stretch,1-Stretch,93.12,73.231,35.083,1.919655028,0.103
Stretch,1-Stretch,93.32,73.307,35.159,1.921647269,0.103
Stretch,1-Stretch,93.52,73.383,35.235,1.923639509,0.103
Stretch,1-Stretch,93.72,73.46,35.312,1.925657964,0.103
Stretch,1-Stretch,93.92,73.536,35.388,1.927650204,0.003
Stretch,1-Stretch,94.12,73.613,35.465,1.929668659,0.103
Stretch,1-Stretch,94.32,73.689,35.541,1.9316609,0.103
Stretch,1-Stretch,94.52,73.766,35.618,1.933679354,0.103
Stretch,1-Stretch,94.72,73.842,35.694,1.935671595,0.103
Stretch,1-Stretch,94.92,73.919,35.771,1.937690049,0.103
Stretch,1-Stretch,95.12,73.995,35.847,1.93968229,0.103
Stretch,1-Stretch,95.32,74.071,35.923,1.941674531,0.103
Stretch,1-Stretch,95.52,74.148,36,1.943692985,0.003
Stretch,1-Stretch,95.72,74.225,36.077,1.94571144,0.103
Stretch,1-Stretch,95.92,74.301,36.153,1.94770368,0.103
Stretch,1-Stretch,96.12,74.377,36.229,1.949695921,0.003
Stretch,1-Stretch,96.32,74.454,36.306,1.951714376,0.103
Stretch,1-Stretch,96.52,74.53,36.382,1.953706616,0.103
Stretch,1-Stretch,96.72,74.607,36.459,1.955725071,-0.097
Stretch,1-Stretch,96.92,74.683,36.535,1.957717312,0.003
Stretch,1-Stretch,97.12,74.76,36.612,1.959735766,0.003
Stretch,1-Stretch,97.32,74.836,36.688,1.961728007,-0.196
Stretch,1-Stretch,97.52,74.912,36.764,1.963720247,0.003
Stretch,1-Stretch,97.72,74.989,36.841,1.965738702,0.003
Stretch,1-Stretch,97.92,75.065,36.917,1.967730943,-0.296
Stretch,1-Stretch,98.12,75.142,36.994,1.969749397,-0.196
Stretch,1-Stretch,98.32,75.218,37.07,1.971741638,-0.296
Stretch,1-Stretch,98.52,75.295,37.147,1.973760092,-0.196
Stretch,1-Stretch,98.72,75.371,37.223,1.975752333,-0.097
Stretch,1-Stretch,98.92,75.448,37.3,1.977770787,0.003
Stretch,1-Stretch,99.12,75.524,37.376,1.979763028,-0.097
Stretch,1-Stretch,99.32,75.601,37.453,1.981781483,-0.196
Stretch,1-Stretch,99.52,75.677,37.529,1.983773723,-0.196
Stretch,1-Stretch,99.72,75.753,37.605,1.985765964,0.003
Stretch,1-Stretch,99.92,75.83,37.682,1.987784419,-0.196
Stretch,1-Stretch,100.12,75.906,37.758,1.989776659,-0.196
Stretch,1-Stretch,100.32,75.983,37.835,1.991795114,-0.097
Stretch,1-Stretch,100.52,76.059,37.911,1.993787355,-0.097
Stretch,1-Stretch,100.72,76.136,37.988,1.995805809,-0.296
Stretch,1-Stretch,100.92,76.212,38.064,1.99779805,-0.196
Stretch,1-Stretch,101.12,76.289,38.141,1.999816504,-0.395
