SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,44.779,0,-0.035
Stretch,1-Preload,0.200,44.779,0,0.164
Stretch,1-Preload,0.400,44.778,-0.001,-0.134
Stretch,1-Preload,0.600,44.779,0,0.164
Stretch,1-Preload,0.800,44.787,0.008,-0.035
Stretch,1-Preload,1.000,44.785,0.006,-0.035
Stretch,1-Preload,1.200,44.788,0.009,0.264
Stretch,1-Preload,1.400,44.792,0.013,-0.134
Stretch,1-Preload,1.600,44.789,0.01,0.065
Stretch,1-Preload,1.800,44.796,0.017,0.065
Stretch,1-Preload,2.000,44.798,0.019,-0.134
Stretch,1-Preload,2.200,44.798,0.019,0.164
Stretch,1-Preload,2.400,44.805,0.026,0.065
Stretch,1-Preload,2.600,44.802,0.023,-0.035
Stretch,1-Preload,2.800,44.805,0.026,0.264
Stretch,1-Preload,3.000,44.809,0.03,-0.035
Stretch,1-Preload,3.200,44.808,0.029,0.065
Stretch,1-Preload,3.400,44.813,0.034,0.264
Stretch,1-Preload,3.600,44.811,0.032,-0.134
Stretch,1-Preload,3.800,44.816,0.037,0.164
Stretch,1-Preload,4.000,44.822,0.043,0.065
Stretch,1-Preload,4.200,44.818,0.039,-0.035
Stretch,1-Preload,4.400,44.824,0.045,0.264
Stretch,1-Preload,4.600,44.828,0.049,-0.134
Stretch,1-Preload,4.800,44.828,0.049,-0.035
Stretch,1-Preload,5.000,44.834,0.055,0.164
Stretch,1-Preload,5.200,44.833,0.054,-0.134
Stretch,1-Preload,5.400,44.833,0.054,0.164
Stretch,1-Preload,5.600,44.839,0.06,0.065
Stretch,1-Preload,5.800,44.835,0.056,-0.035
Stretch,1-Preload,6.000,44.839,0.06,0.264
Stretch,1-Preload,6.200,44.839,0.06,0.065
Stretch,1-Preload,6.400,44.834,0.055,0.065
Stretch,1-Preload,6.600,44.841,0.062,0.164
Stretch,1-Preload,6.800,44.839,0.06,-0.134
Stretch,1-Preload,7.000,44.843,0.064,0.164
Stretch,1-Preload,7.200,44.85,0.071,-0.035
Stretch,1-Preload,7.400,44.85,0.071,-0.035
Stretch,1-Stretch,7.510,44.85,0,-0.035
Stretch,1-Stretch,7.710,44.926,0.076,-0.035
Stretch,1-Stretch,7.910,45.016,0.166,0.164
Stretch,1-Stretch,8.110,45.106,0.256,-0.134
Stretch,1-Stretch,8.310,45.196,0.346,0.065
Stretch,1-Stretch,8.510,45.286,0.436,0.164
Stretch,1-Stretch,8.710,45.376,0.526,-0.134
Stretch,1-Stretch,8.910,45.465,0.615,0.164
Stretch,1-Stretch,9.110,45.556,0.706,-0.035
Stretch,1-Stretch,9.310,45.646,0.796,-0.035
Stretch,1-Stretch,9.510,45.735,0.885,0.264
Stretch,1-Stretch,9.710,45.825,0.975,-0.134
Stretch,1-Stretch,9.910,45.915,1.065,0.065
Stretch,1-Stretch,10.110,46.005,1.155,0.065
Stretch,1-Stretch,10.310,46.095,1.245,-0.134
Stretch,1-Stretch,10.510,46.185,1.335,0.164
Stretch,1-Stretch,10.710,46.275,1.425,-0.035
Stretch,1-Stretch,10.910,46.364,1.514,-0.035
Stretch,1-Stretch,11.110,46.454,1.604,0.264
Stretch,1-Stretch,11.310,46.544,1.694,-0.134
Stretch,1-Stretch,11.510,46.634,1.784,0.065
Stretch,1-Stretch,11.710,46.724,1.874,0.164
Stretch,1-Stretch,11.910,46.814,1.964,-0.134
Stretch,1-Stretch,12.110,46.904,2.054,0.164
Stretch,1-Stretch,12.310,46.993,2.143,0.065
Stretch,1-Stretch,12.510,47.083,2.233,-0.035
Stretch,1-Stretch,12.710,47.174,2.324,0.164
Stretch,1-Stretch,12.910,47.263,2.413,-0.134
Stretch,1-Stretch,13.110,47.353,2.503,0.065
Stretch,1-Stretch,13.310,47.443,2.593,0.164
Stretch,1-Stretch,13.510,47.533,2.683,-0.134
Stretch,1-Stretch,13.710,47.623,2.773,0.164
Stretch,1-Stretch,13.910,47.713,2.863,-0.035
Stretch,1-Stretch,14.110,47.802,2.952,-0.035
Stretch,1-Stretch,14.310,47.892,3.042,0.264
Stretch,1-Stretch,14.510,47.982,3.132,-0.134
Stretch,1-Stretch,14.710,48.072,3.222,0.065
Stretch,1-Stretch,14.910,48.162,3.312,0.164
Stretch,1-Stretch,15.110,48.252,3.402,-0.134
Stretch,1-Stretch,15.310,48.342,3.492,0.164
Stretch,1-Stretch,15.510,48.431,3.581,0.065
Stretch,1-Stretch,15.710,48.521,3.671,-0.035
Stretch,1-Stretch,15.910,48.611,3.761,0.264
Stretch,1-Stretch,16.110,48.701,3.851,-0.134
Stretch,1-Stretch,16.310,48.791,3.941,0.065
Stretch,1-Stretch,16.510,48.881,4.031,0.065
Stretch,1-Stretch,16.710,48.971,4.121,-0.134
Stretch,1-Stretch,16.910,49.061,4.211,0.164
Stretch,1-Stretch,17.110,49.151,4.301,0.065
Stretch,1-Stretch,17.310,49.241,4.391,0.065
Stretch,1-Stretch,17.510,49.33,4.48,0.164
Stretch,1-Stretch,17.710,49.42,4.57,-0.035
Stretch,1-Stretch,17.910,49.51,4.66,0.164
Stretch,1-Stretch,18.110,49.6,4.75,0.164
Stretch,1-Stretch,18.310,49.69,4.84,0.065
Stretch,1-Stretch,18.510,49.78,4.93,0.264
Stretch,1-Stretch,18.710,49.87,5.02,0.164
Stretch,1-Stretch,18.910,49.959,5.109,0.164
Stretch,1-Stretch,19.110,50.049,5.199,0.264
Stretch,1-Stretch,19.310,50.14,5.29,0.264
Stretch,1-Stretch,19.510,50.229,5.379,0.164
Stretch,1-Stretch,19.710,50.319,5.469,0.264
Stretch,1-Stretch,19.910,50.409,5.559,0.562
Stretch,1-Stretch,20.110,50.499,5.649,0.363
Stretch,1-Stretch,20.310,50.589,5.739,0.463
Stretch,1-Stretch,20.510,50.679,5.829,0.562
Stretch,1-Stretch,20.710,50.769,5.919,0.164
Stretch,1-Stretch,20.910,50.858,6.008,0.463
Stretch,1-Stretch,21.110,50.948,6.098,0.363
Stretch,1-Stretch,21.310,51.038,6.188,0.264
Stretch,1-Stretch,21.510,51.128,6.278,0.562
Stretch,1-Stretch,21.710,51.218,6.368,0.264
Stretch,1-Stretch,21.910,51.308,6.458,0.463
Stretch,1-Stretch,22.110,51.398,6.548,0.463
Stretch,1-Stretch,22.310,51.487,6.637,0.264
Stretch,1-Stretch,22.510,51.577,6.727,0.562
Stretch,1-Stretch,22.710,51.667,6.817,0.363
Stretch,1-Stretch,22.910,51.757,6.907,0.363
Stretch,1-Stretch,23.110,51.847,6.997,0.562
Stretch,1-Stretch,23.310,51.937,7.087,0.562
Stretch,1-Stretch,23.510,52.026,7.176,0.662
Stretch,1-Stretch,23.710,52.117,7.267,0.662
Stretch,1-Stretch,23.910,52.207,7.357,0.662
Stretch,1-Stretch,24.110,52.296,7.446,0.662
Stretch,1-Stretch,24.310,52.386,7.536,0.662
Stretch,1-Stretch,24.510,52.476,7.626,0.662
Stretch,1-Stretch,24.710,52.566,7.716,0.662
Stretch,1-Stretch,24.910,52.656,7.806,0.662
Stretch,1-Stretch,25.110,52.746,7.896,0.662
Stretch,1-Stretch,25.310,52.836,7.986,0.662
Stretch,1-Stretch,25.510,52.925,8.075,0.662
Stretch,1-Stretch,25.710,53.015,8.165,0.662
Stretch,1-Stretch,25.910,53.105,8.255,0.662
Stretch,1-Stretch,26.110,53.195,8.345,0.662
Stretch,1-Stretch,26.310,53.285,8.435,0.762
Stretch,1-Stretch,26.510,53.375,8.525,0.961
Stretch,1-Stretch,26.710,53.465,8.615,1.160
Stretch,1-Stretch,26.910,53.554,8.704,1.160
Stretch,1-Stretch,27.110,53.645,8.795,0.961
Stretch,1-Stretch,27.310,53.735,8.885,1.359
Stretch,1-Stretch,27.510,53.824,8.974,1.160
Stretch,1-Stretch,27.710,53.914,9.064,1.060
Stretch,1-Stretch,27.910,54.004,9.154,1.359
Stretch,1-Stretch,28.110,54.094,9.244,1.060
Stretch,1-Stretch,28.310,54.184,9.334,1.259
Stretch,1-Stretch,28.510,54.274,9.424,1.359
Stretch,1-Stretch,28.710,54.364,9.514,1.259
Stretch,1-Stretch,28.910,54.453,9.603,1.359
Stretch,1-Stretch,29.110,54.543,9.693,1.458
Stretch,1-Stretch,29.310,54.633,9.783,1.458
Stretch,1-Stretch,29.510,54.723,9.873,1.458
Stretch,1-Stretch,29.710,54.813,9.963,1.458
Stretch,1-Stretch,29.910,54.903,10.053,1.458
Stretch,1-Stretch,30.110,54.993,10.143,1.458
Stretch,1-Stretch,30.310,55.083,10.233,1.558
Stretch,1-Stretch,30.510,55.173,10.323,1.558
Stretch,1-Stretch,30.710,55.262,10.412,1.658
Stretch,1-Stretch,30.910,55.352,10.502,1.757
Stretch,1-Stretch,31.110,55.442,10.592,2.155
Stretch,1-Stretch,31.310,55.532,10.682,1.857
Stretch,1-Stretch,31.510,55.622,10.772,1.956
Stretch,1-Stretch,31.710,55.712,10.862,2.056
Stretch,1-Stretch,31.910,55.802,10.952,1.757
Stretch,1-Stretch,32.110,55.891,11.041,2.155
Stretch,1-Stretch,32.310,55.981,11.131,2.056
Stretch,1-Stretch,32.510,56.062,11.212,1.857
Stretch,1-Stretch,32.710,56.133,11.283,2.155
Stretch,1-Stretch,32.910,56.223,11.373,1.956
Stretch,1-Stretch,33.110,56.313,11.463,2.056
Stretch,1-Stretch,33.310,56.403,11.553,2.155
Stretch,1-Stretch,33.510,56.493,11.643,2.155
Stretch,1-Stretch,33.710,56.582,11.732,2.255
Stretch,1-Stretch,33.910,56.672,11.822,2.155
Stretch,1-Stretch,34.110,56.762,11.912,2.155
Stretch,1-Stretch,34.310,56.852,12.002,1.857
Stretch,1-Stretch,34.510,56.942,12.092,1.956
Stretch,1-Stretch,34.710,57.032,12.182,1.857
Stretch,1-Stretch,34.910,57.122,12.272,1.857
Stretch,1-Stretch,35.110,57.211,12.361,2.155
Stretch,1-Stretch,35.310,57.301,12.451,2.255
Stretch,1-Stretch,35.510,57.391,12.541,2.255
Stretch,1-Stretch,35.710,57.481,12.631,2.255
Stretch,1-Stretch,35.910,57.571,12.721,2.255
Stretch,1-Stretch,36.110,57.661,12.811,2.255
Stretch,1-Stretch,36.310,57.751,12.901,2.255
Stretch,1-Stretch,36.510,57.841,12.991,2.255
Stretch,1-Stretch,36.710,57.931,13.081,2.255
Stretch,1-Stretch,36.910,58.021,13.171,2.255
Stretch,1-Stretch,37.110,58.11,13.26,2.255
Stretch,1-Stretch,37.310,58.2,13.35,2.354
Stretch,1-Stretch,37.510,58.29,13.44,2.255
Stretch,1-Stretch,37.710,58.38,13.53,2.554
Stretch,1-Stretch,37.910,58.47,13.62,2.454
Stretch,1-Stretch,38.110,58.56,13.71,2.354
Stretch,1-Stretch,38.310,58.65,13.8,2.653
Stretch,1-Stretch,38.510,58.739,13.889,2.255
Stretch,1-Stretch,38.710,58.829,13.979,2.454
Stretch,1-Stretch,38.910,58.919,14.069,2.653
Stretch,1-Stretch,39.110,59.009,14.159,2.354
Stretch,1-Stretch,39.310,59.099,14.249,2.852
Stretch,1-Stretch,39.510,59.189,14.339,2.852
Stretch,1-Stretch,39.710,59.279,14.429,2.952
Stretch,1-Stretch,39.910,59.369,14.519,3.051
Stretch,1-Stretch,40.110,59.459,14.609,3.051
