SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,36.857,0,0.026
Stretch,1-Preload,0.200,36.857,0,-0.074
Stretch,1-Preload,0.400,36.857,0,0.026
Stretch,1-Preload,0.600,36.866,0.009,0.026
Stretch,1-Preload,0.800,36.871,0.014,-0.074
Stretch,1-Preload,1.000,36.873,0.016,0.026
Stretch,1-Preload,1.200,36.879,0.022,0.026
Stretch,1-Preload,1.400,36.879,0.022,0.026
Stretch,1-Preload,1.600,36.879,0.022,0.026
Stretch,1-Preload,1.800,36.879,0.022,0.026
Stretch,1-Preload,2.000,36.879,0.022,0.026
Stretch,1-Preload,2.200,36.879,0.022,0.026
Stretch,1-Preload,2.400,36.881,0.024,-0.074
Stretch,1-Preload,2.600,36.886,0.029,0.026
Stretch,1-Preload,2.800,36.886,0.029,0.026
Stretch,1-Preload,3.000,36.886,0.029,0.026
Stretch,1-Preload,3.200,36.886,0.029,0.026
Stretch,1-Preload,3.400,36.892,0.035,0.026
Stretch,1-Preload,3.600,36.892,0.035,0.026
Stretch,1-Preload,3.800,36.899,0.042,0.026
Stretch,1-Preload,4.000,36.902,0.045,-0.074
Stretch,1-Preload,4.200,36.906,0.049,0.026
Stretch,1-Preload,4.400,36.906,0.049,0.026
Stretch,1-Preload,4.600,36.906,0.049,0.026
Stretch,1-Preload,4.800,36.906,0.049,0.026
Stretch,1-Preload,5.000,36.912,0.055,0.026
Stretch,1-Preload,5.200,36.912,0.055,0.026
Stretch,1-Preload,5.400,36.923,0.066,0.026
Stretch,1-Preload,5.600,36.923,0.066,0.026
Stretch,1-Preload,5.800,36.923,0.066,0.026
Stretch,1-Preload,6.000,36.929,0.072,0.026
Stretch,1-Preload,6.200,36.929,0.072,0.026
Stretch,1-Preload,6.400,36.929,0.072,0.026
Stretch,1-Preload,6.600,36.937,0.08,-0.074
Stretch,1-Preload,6.800,36.939,0.082,0.026
Stretch,1-Preload,7.000,36.945,0.088,0.026
Stretch,1-Preload,7.200,36.945,0.088,0.026
Stretch,1-Preload,7.400,36.945,0.088,0.026
