# Stretch,Cauchy_stress
1.000000000000000000e+00,-3.643200351389238971e-03
1.001781088082901672e+00,1.490718128893562524e-03
1.003805051813471572e+00,6.593014837170720240e-03
1.005802029360967298e+00,-3.664338306795886062e-03
1.007799006908462802e+00,6.619247226769375825e-03
1.009795984455958529e+00,6.632363421568705786e-03
1.011819948186528650e+00,1.183757628587159445e-02
1.013816925734024155e+00,1.186093950785789553e-02
1.015813903281520103e+00,2.225700555106787173e-02
1.017810880829015607e+00,2.230076035715625529e-02
1.019834844559585507e+00,1.193134489303284210e-02
1.021831822107081233e+00,2.763215428339951818e-02
1.023828799654576960e+00,1.723161139709556214e-02
1.025825777202072464e+00,1.726522164626883779e-02
1.027849740932642586e+00,2.779488953772932258e-02
1.029846718480138312e+00,1.204847672218039602e-02
1.031843696027633817e+00,2.260822656210166592e-02
1.033840673575129765e+00,2.265198136819005642e-02
1.035864637305699443e+00,2.269632745544179070e-02
1.037861614853195391e+00,3.333791919371872914e-02
1.039858592400690895e+00,2.811963029188521354e-02
1.041855569948186622e+00,3.346621197409965776e-02
1.043879533678756522e+00,3.353122520740080964e-02
1.045876511226252248e+00,3.359537159759127395e-02
1.047873488773747974e+00,3.365951798778174520e-02
1.049897452504317874e+00,3.372453122108289014e-02
1.051894430051813600e+00,3.918622994534259191e-02
1.053891407599309105e+00,4.461434473036365866e-02
1.055888385146805053e+00,3.933501678009747315e-02
1.057912348877374731e+00,5.558714254305809760e-02
1.059909326424870679e+00,7.195372206076364185e-02
1.061906303972366183e+00,5.579700165984737004e-02
1.063903281519861910e+00,6.676568542959958330e-02
1.065927245250431810e+00,6.689270010104894637e-02
1.067924222797927536e+00,5.611320830203659488e-02
1.069921200345423262e+00,7.263339491147510762e-02
1.071918177892918767e+00,6.726866352853907993e-02
1.073942141623488888e+00,6.739567819998844300e-02
1.075939119170984393e+00,7.856286350315321021e-02
1.077936096718480341e+00,7.870867870002389022e-02
1.079933074265975845e+00,7.885449389689454247e-02
1.081957037996545967e+00,7.900227956939860630e-02
1.083954015544041471e+00,7.914809476626925855e-02
1.085950993091537198e+00,8.481049259585309030e-02
1.087947970639032924e+00,9.607573225606340361e-02
1.089971934369602824e+00,1.018474049374624990e-01
1.091968911917098550e+00,1.187314953311788129e-01
1.093965889464594055e+00,1.022206016676121404e-01
1.095962867012090003e+00,1.135983218374671672e-01
1.097986830742659681e+00,1.138081089481194075e-01
1.099983808290155629e+00,1.083707870706975274e-01
1.101980785837651133e+00,1.198201021117211995e-01
1.103977763385146860e+00,1.257020424987859708e-01
1.106001727115716982e+00,1.259324967554876773e-01
1.107998704663212486e+00,1.261598782887666526e-01
1.109995682210708212e+00,1.150528458046562452e-01
1.112019645941278112e+00,1.039075517518697062e-01
1.114016623488773838e+00,1.211287776484379353e-01
1.116013601036269343e+00,1.270724771453052848e-01
1.118010578583765291e+00,1.272998586785842878e-01
1.120034542314334969e+00,1.275303129352859388e-01
1.122031519861830917e+00,1.277576944685649696e-01
1.124028497409326421e+00,1.279850760018439171e-01
1.126025474956822148e+00,1.397105553492236363e-01
1.128049438687392270e+00,1.342312358924025728e-01
1.130046416234887774e+00,1.402094498693557956e-01
1.132043393782383500e+00,1.520167711150911538e-01
1.134040371329879227e+00,1.522849358165742906e-01
1.136064335060449126e+00,1.641573312238805427e-01
1.138061312607944631e+00,1.702855852193189135e-01
1.140058290155440579e+00,1.763758338217609745e-01
1.142055267702936083e+00,1.766847816914482450e-01
1.144079231433506205e+00,1.769979045323475941e-01
1.146076208981001932e+00,1.831876766939763979e-01
