# Stretch,Cauchy_stress
1.000000000000000000e+00,-5.683827763846214381e-03
1.001782531194295833e+00,-5.693959364138274394e-03
1.003774771940861843e+00,-1.152820053413970008e-02
1.005767012687427853e+00,-2.327896449397959602e-02
1.007785467128027523e+00,-1.157426275814793515e-02
1.009777707874593533e+00,-1.159714334000823584e-02
1.011796162315193426e+00,-1.754906221795013779e-02
1.013788403061759436e+00,-1.164320556401647264e-02
1.015806857502359106e+00,1.785671511147613561e-04
1.017799098248925116e+00,-1.168926778802470770e-02
1.019791338995491126e+00,6.154853480092632376e-03
1.021809793436090796e+00,1.796223981433614015e-04
1.023802034182656806e+00,1.799726111310190585e-04
1.025820488623256699e+00,1.803274321843037899e-04
1.027812729369822708e+00,1.806776451719614739e-04
1.029831183810422601e+00,6.215448007066786545e-03
1.031823424556988611e+00,6.227471986309698893e-03
1.033841878997588282e+00,6.239654175805807272e-03
1.035834119744154291e+00,6.251678155048720487e-03
1.037852574184753962e+00,6.263860344544827999e-03
1.039844814931319972e+00,6.275884323787742081e-03
1.041837055677885981e+00,6.287908303030654428e-03
1.043855510118485652e+00,6.300090492526762807e-03
1.045847750865051884e+00,6.312114471769676889e-03
1.047866205305651555e+00,6.324296661265785269e-03
1.049858446052217564e+00,6.336320640508698483e-03
1.051850686798783574e+00,6.348344619751610830e-03
1.053869141239383467e+00,6.360526809247721812e-03
1.055861381985949476e+00,6.372550788490634159e-03
1.057879836426549147e+00,6.384732977986743406e-03
1.059898290867148818e+00,6.396915167482850918e-03
1.061890531613714828e+00,6.408939146725765000e-03
1.063882772360280837e+00,6.420963125968678215e-03
1.065901226800880730e+00,6.433145315464787461e-03
1.067893467547446740e+00,1.889748666991966294e-02
1.069911921988046410e+00,1.266393203698222732e-02
1.071904162734612420e+00,6.469375463446721403e-03
1.073922617175212313e+00,1.900417874940519766e-02
1.075914857921778101e+00,6.493581632185742997e-03
1.077907098668344110e+00,1.907468829758693363e-02
1.079925553108944003e+00,2.537507677835758660e-02
1.081917793855510013e+00,6.529811780167677805e-03
1.083936248296109905e+00,2.546931632849688820e-02
1.085928489042675915e+00,2.551612813118046136e-02
1.087920729789241925e+00,1.287709193675943935e-02
1.089939184229841596e+00,3.199699303825735003e-02
1.091957638670441266e+00,6.590406307141831108e-03
1.093949879417007276e+00,1.294845551310406379e-02
1.095968333857606947e+00,2.575203497891478260e-02
1.097960574604173178e+00,2.579884678159835923e-02
1.099952815350739188e+00,3.229095997687093933e-02
1.101971269791338859e+00,3.874277256619099857e-02
1.103963510537904869e+00,3.881281516372253604e-02
1.105981964978504761e+00,3.888377937437948600e-02
1.107974205725070771e+00,4.544612563389618248e-02
1.109966446471636781e+00,4.552784199768297041e-02
1.111984900912236451e+00,3.264418203138307745e-02
1.113977141658802461e+00,5.215455371787864475e-02
1.115995596099402354e+00,3.923583558828797058e-02
1.118014050540002025e+00,4.585793309876906587e-02
1.120006291286568034e+00,5.243682845797447561e-02
1.121998532033134044e+00,3.944688499400797466e-02
1.124016986473733715e+00,5.262460252421212459e-02
1.126009227220299724e+00,5.271787591659161248e-02
1.128027681660899395e+00,5.942218592592534571e-02
1.130019922407465405e+00,5.952713308456008406e-02
1.132012163154031414e+00,5.963208024319482936e-02
1.134030617594631307e+00,5.973840828549582815e-02
1.136022858341197539e+00,5.984335544413058039e-02
1.138041312781797210e+00,6.661816885755854345e-02
1.140033553528363219e+00,6.005463064506631754e-02
1.142052007968962890e+00,8.016999833978422085e-02
1.144044248715528900e+00,8.030985005952219480e-02
1.146036489462094909e+00,1.004613972135001559e-01
1.148054943902694580e+00,9.397844485269418735e-02
1.150073398343294473e+00,9.414367318984045996e-02
1.152065639089860483e+00,1.077405741619645585e-01
1.154057879836426492e+00,8.770750191128053042e-02
1.156076334277026163e+00,1.081156522717458962e-01
1.158068575023592173e+00,1.015161281387499531e-01
1.160087029464192065e+00,8.816571259701806718e-02
1.162079270210758075e+00,1.086770436909611365e-01
1.164097724651357746e+00,1.088658084913085994e-01
1.166089965397923756e+00,1.090521218007424881e-01
1.168082206144489765e+00,1.160145034534767611e-01
1.170100660585089658e+00,1.162149773485826598e-01
1.172092901331655668e+00,1.164128476866092138e-01
1.174111355772255338e+00,1.166133215817150987e-01
1.176103596518821348e+00,1.168111919197416665e-01
1.178095837265387358e+00,1.170090622577682482e-01
1.180114291705987029e+00,1.172095361528740914e-01
1.182106532452553038e+00,1.174074064909006870e-01
1.184124986893152709e+00,1.521617001100367683e-01
1.186143441333752824e+00,1.385898869832083991e-01
1.188135682080318833e+00,1.665314981055932286e-01
1.190127922826884843e+00,1.599067786057703500e-01
1.192146377267484514e+00,1.462767947944875746e-01
1.194138618014050524e+00,1.673728817363970001e-01
1.196157072454650194e+00,1.537078397618234504e-01
1.198149313201216204e+00,1.539638454558012182e-01
1.200167767641815875e+00,1.682179395315273884e-01
1.202160008388381884e+00,1.544792253397301030e-01
1.204152249134947894e+00,1.617911011218842177e-01
1.206170703575547787e+00,1.690593231623311599e-01
1.208162944322113797e+00,1.623299821405111976e-01
1.210181398762713467e+00,1.767126688956265068e-01
1.212173639509279477e+00,1.699007067931349313e-01
1.214165880255845487e+00,1.701799432819606495e-01
1.216184334696445379e+00,1.634077441777651296e-01
1.218202789137045050e+00,1.636789457361590705e-01
1.220195029883611060e+00,1.567967505694233821e-01
1.222213484324210953e+00,1.570561247593745546e-01
1.224205725070776962e+00,1.644855062150190617e-01
1.226197965817342972e+00,1.790514342358169031e-01
1.228216420257942643e+00,1.721492953610471999e-01
1.230208661004508652e+00,1.796370825124930237e-01
1.232227115445108323e+00,1.799318205340881827e-01
1.234219356191674333e+00,1.802227307891691443e-01
1.236211596938240342e+00,1.805136410442501060e-01
1.238230051378840235e+00,1.808083790658453205e-01
1.240222292125406245e+00,1.810992893209262822e-01
1.242240746566006138e+00,1.813940273425214966e-01
1.244259201006605808e+00,1.889067379849222461e-01
1.246251441753171818e+00,1.965117604700083176e-01
1.248243682499737828e+00,1.822705858742785789e-01
1.249973786305966117e+00,2.116741979781653071e-01
1.251599035336059540e+00,1.900210911352989140e-01
1.253617489776659211e+00,1.976732556677717745e-01
1.255635944217258881e+00,2.126330442738469384e-01
1.257628184963824891e+00,1.836409262863704372e-01
1.259620425710390901e+00,2.059268956463280176e-01
1.261638880150990794e+00,2.062568792258828443e-01
1.263631120897556803e+00,1.992522277871513481e-01
1.265649575338156474e+00,2.290870611363978737e-01
1.267641816084722484e+00,2.368755583624915229e-01
1.269634056831288493e+00,2.372478347683716626e-01
1.271652511271888386e+00,2.450018913119685615e-01
1.273670965712488057e+00,2.453907751863686204e-01
1.275663206459054066e+00,2.457746086208414393e-01
1.277655447205620076e+00,2.461584420553142027e-01
1.279673901646219969e+00,2.465473259297143171e-01
1.281666142392785979e+00,2.469311593641871083e-01
1.283684596833385649e+00,2.473200432385871395e-01
1.285676837579951659e+00,2.552374495645763908e-01
1.287669078326517669e+00,2.556329567653043977e-01
1.289687532767117339e+00,2.484765939819327529e-01
1.291705987207717232e+00,2.714964930263583098e-01
1.293698227954283020e+00,2.643346558610216723e-01
1.295690468700849252e+00,2.572253936524462881e-01
1.297708923141449144e+00,2.802862522562089564e-01
1.299701163888015154e+00,2.580216120960172610e-01
1.301719618328614825e+00,2.659736249948658204e-01
1.303711859075180834e+00,2.815827991053488910e-01
1.305730313515780505e+00,2.592185417824310334e-01
1.307722554262346515e+00,2.901118032615821463e-01
1.309741008702946186e+00,2.905595874308274373e-01
1.311733249449512195e+00,3.139834540844722577e-01
1.313725490196078205e+00,3.144603274359994982e-01
1.315743944636678098e+00,3.149434754368888867e-01
1.317736185383244107e+00,3.154203487884160162e-01
1.319754639823843778e+00,3.159034967893054047e-01
1.321746880570409788e+00,3.163803701408325342e-01
1.323765335011009681e+00,3.168635181417219782e-01
1.325757575757575690e+00,3.173403914932491077e-01
1.327776030198175361e+00,3.100432814893860356e-01
1.329768270944741371e+00,3.260144252989634062e-01
1.331760511691307380e+00,3.187772861971928662e-01
1.333778966131907273e+00,3.192604341980822547e-01
1.335771206878473283e+00,3.197373075496094397e-01
1.337789661319072954e+00,3.202204555504988281e-01
1.339781902065638963e+00,3.206973289020260132e-01
1.341800356506238634e+00,3.289642877262662912e-01
1.343792597252804644e+00,3.216573502544425311e-01
1.345811051693404536e+00,3.221404982553319196e-01
1.347803292439970546e+00,3.226173716068590491e-01
1.349821746880570439e+00,3.231005196077484931e-01
1.351813987627136449e+00,3.314192930579215046e-01
1.353806228373702458e+00,3.792664497507829413e-01
1.355824682814302129e+00,3.561569714465889769e-01
1.357816923560868139e+00,3.645570296384017528e-01
1.359835378001467809e+00,3.809555054859495304e-01
1.361827618748033819e+00,3.577338622563269732e-01
1.363846073188633490e+00,3.820790947358647105e-01
1.365838313935199722e+00,3.747139620032367002e-01
1.367856768375799392e+00,3.593176390521337082e-01
1.369849009122365402e+00,3.758142851298007514e-01
1.371841249868931412e+00,3.683223875838155248e-01
1.373859704309531082e+00,3.769146082563648026e-01
1.375878158750130975e+00,3.935119805045521613e-01
1.377870399496696985e+00,3.860079852502740216e-01
1.379862640243262994e+00,3.865661080149377926e-01
1.381881094683862665e+00,3.952288674200844509e-01
1.383873335430428675e+00,3.957986639510033822e-01
1.385891789871028568e+00,3.963759578046977539e-01
1.387884030617594577e+00,3.969457543356167406e-01
1.389876271364160587e+00,3.975155508665357273e-01
1.391894725804760258e+00,4.062488136757765322e-01
1.393913180245359928e+00,4.149240532586631613e-01
1.395905420991925938e+00,4.480713715436039912e-01
1.397897661738491948e+00,4.487108604590667738e-01
1.399916116179091841e+00,4.249139094520353321e-01
1.401908356925657850e+00,4.582128976090256711e-01
1.403926811366257743e+00,4.425019482250812097e-01
1.405919052112823753e+00,4.431298801119513686e-01
1.407911292859389762e+00,4.601749535842027949e-01
1.409929747299989433e+00,4.361323588867668799e-01
1.411948201740589104e+00,4.614944148076842168e-01
1.413940442487155114e+00,4.538604290941100627e-01
1.415932683233721123e+00,4.379892419080933519e-01
1.417951137674321016e+00,4.634564707828612851e-01
1.419943378420887026e+00,4.475501901050505937e-01
1.421961832861486696e+00,4.564352134116316240e-01
1.423954073608052706e+00,4.736789129446724034e-01
1.425972528048652599e+00,4.743503526511716473e-01
1.427964768795218387e+00,4.750130723614824357e-01
1.429983223235818279e+00,4.673891506632379400e-01
1.431975463982384289e+00,4.763472317782924126e-01
1.433967704728950299e+00,4.770099514886032566e-01
1.435986159169550191e+00,4.776813911951024449e-01
1.437978399916116201e+00,4.783441109054132334e-01
1.439996854356715872e+00,4.790155506119123663e-01
1.441989095103281882e+00,4.796782703222232658e-01
1.444007549543881552e+00,4.803497100287223986e-01
1.445999790290447562e+00,5.148197151830836704e-01
1.448018244731047233e+00,5.070535148505375123e-01
1.450010485477613242e+00,5.415672290433933833e-01
1.452002726224179252e+00,5.253800391489344968e-01
1.454021180664779145e+00,5.261103791502789173e-01
1.456039635105379038e+00,5.438190678335946826e-01
1.458031875851945047e+00,5.191035020158495383e-01
1.460024116598511057e+00,5.198128000535189308e-01
1.462042571039110728e+00,5.290127692854917907e-01
1.464034811785676737e+00,5.126620468220373095e-01
1.466053266226276408e+00,5.219593599043601539e-01
1.468045506972842418e+00,5.140664746315944944e-01
1.470063961413442311e+00,5.062454075976487999e-01
1.472056202160008320e+00,4.983057903953370116e-01
