# Stretch,Cauchy_stress
1.000000000000000000e+00,8.521868349237529672e-03
1.001766381766381775e+00,2.412608171464492891e-03
1.003760683760683614e+00,8.553916401149190205e-03
1.005754985754985675e+00,1.478171707308691650e-02
1.007777777777777661e+00,1.481144632106689077e-02
1.009772079772079723e+00,8.605144726553439274e-03
1.011766381766381562e+00,2.730344303439209003e-02
1.013760683760683623e+00,8.639135084641565501e-03
1.015783475783475831e+00,2.113911390224450237e-02
1.017777777777777670e+00,2.118061662208398782e-02
1.019772079772079731e+00,8.690363410045816306e-03
1.021794871794871717e+00,2.757407102831279516e-02
1.023789173789173779e+00,1.504676797409150793e-02
1.025811965811965765e+00,2.768247599178671678e-02
1.027806267806267826e+00,2.773629405875958562e-02
1.029800569800569887e+00,2.779011212573245793e-02
1.031823361823361651e+00,2.784469902223350030e-02
1.033817663817663712e+00,3.428261710961972436e-02
1.035811965811965774e+00,3.434875052372597659e-02
1.037806267806267835e+00,3.441488393783222188e-02
1.039829059829059821e+00,3.448196211499713476e-02
1.041823361823361660e+00,3.454809552910337311e-02
1.043846153846153868e+00,3.461517370626828599e-02
1.045840455840455929e+00,3.468130712037453822e-02
1.047834757834757990e+00,4.115339325871467113e-02
1.049857549857549754e+00,4.771598840180860807e-02
1.051851851851851816e+00,4.780662935671028263e-02
1.053846153846153877e+00,8.024094333453471450e-02
1.055840455840455938e+00,6.741779925214008706e-02
1.057863247863247924e+00,6.754695909420434241e-02
1.059857549857549763e+00,8.069865728542918726e-02
1.061880341880341749e+00,6.131163902317403325e-02
1.063874643874643811e+00,7.450051021005332785e-02
1.065868945868945872e+00,7.464016624654584708e-02
1.067891737891737858e+00,6.818730084641030920e-02
1.069886039886039697e+00,8.146223695706356072e-02
1.071880341880341758e+00,8.823323240434856329e-02
1.073903133903133966e+00,8.839974117559777633e-02
1.075897435897436027e+00,8.856390475288573871e-02
1.077920227920227791e+00,8.873041352413491012e-02
1.079886039886039928e+00,8.889223190746160796e-02
1.081908831908831914e+00,9.573981649856909415e-02
1.083903133903133975e+00,1.092361438453038208e-01
1.085925925925925961e+00,1.294235312397513660e-01
1.087920227920227800e+00,1.230102016225845807e-01
1.089914529914529862e+00,1.165051824866744912e-01
1.091937321937321848e+00,1.368829897784983318e-01
1.093931623931623909e+00,1.169345852138446301e-01
1.095925925925925748e+00,1.373829928721135296e-01
1.097948717948717734e+00,1.376365658695897776e-01
1.099943019943019795e+00,1.378865674163974042e-01
1.101965811965812003e+00,1.245983236934989080e-01
1.103960113960114064e+00,1.451392178494042007e-01
1.105954415954415904e+00,1.318105797879081664e-01
1.107948717948717965e+00,1.320482659875824027e-01
1.109971509971509951e+00,1.255035210604906470e-01
1.111965811965812012e+00,1.325270339040690581e-01
1.113960113960113851e+00,1.464539321766162583e-01
1.115982905982905837e+00,1.467198715419497645e-01
1.117977207977207899e+00,1.469820652824194163e-01
1.119999999999999885e+00,1.472480046477528948e-01
1.121994301994301946e+00,1.475101983882225742e-01
1.123988603988603785e+00,1.477723921286921704e-01
1.125982905982905846e+00,1.688247883937646354e-01
1.128005698005698054e+00,1.552662615066651985e-01
1.129999999999999893e+00,1.555407705942681851e-01
1.131994301994301955e+00,1.767164769115165401e-01
1.134017094017093941e+00,1.490908520807681104e-01
1.136011396011396002e+00,1.913037839147559427e-01
1.138034188034187988e+00,1.846167562635616377e-01
1.140028490028490049e+00,1.919802606547865720e-01
1.142022792022792110e+00,2.063501683537510567e-01
1.144045584045583874e+00,2.067156632259754545e-01
1.146039886039885936e+00,2.070760102830981331e-01
1.148034188034187997e+00,2.144548807088748898e-01
1.150056980056979983e+00,2.078018522124452649e-01
1.152051282051282044e+00,2.152052811997412773e-01
1.154074074074074030e+00,2.227098578923790151e-01
1.156039886039885944e+00,2.088828933838133006e-01
1.158062678062678152e+00,2.305593997735699563e-01
1.160056980056980214e+00,2.167007601921771276e-01
1.162079772079771978e+00,2.170786214322587282e-01
1.164074074074074039e+00,2.532497319293759430e-01
1.166068376068376100e+00,2.465548259746868642e-01
1.168091168091168086e+00,2.684780861782785077e-01
1.170085470085470147e+00,2.545575391061815074e-01
1.172079772079771987e+00,2.693948406188872435e-01
1.174074074074074048e+00,2.698532178391916392e-01
1.176096866096866034e+00,2.703181433055003580e-01
1.178091168091168095e+00,2.780515479445528904e-01
1.180113960113960081e+00,2.785289646915254380e-01
1.182108262108261920e+00,2.716998232124178125e-01
1.184102564102563981e+00,2.721582004327221527e-01
1.186125356125356189e+00,2.726231258990309825e-01
1.188119658119658251e+00,2.730815031193353226e-01
1.190113960113960090e+00,2.808891517082490741e-01
1.192136752136752076e+00,2.886547134780020341e-01
1.194131054131054137e+00,3.111860914483575158e-01
1.196153846153846123e+00,2.970139506310021660e-01
1.198148148148148184e+00,3.269567115435664806e-01
1.200142450142450024e+00,3.127526387904294713e-01
1.202136752136752085e+00,3.132723464394581159e-01
1.204159544159544071e+00,3.285971316157502708e-01
1.206153846153846132e+00,3.068708641862336051e-01
1.208148148148147971e+00,3.296855619953983352e-01
1.210170940170939957e+00,3.377106802619991854e-01
1.212165242165242018e+00,3.307817668777581765e-01
1.214188034188034226e+00,3.388316917721563293e-01
1.216182336182336288e+00,3.393882223091137518e-01
1.218176638176638127e+00,3.399447528460711743e-01
1.220199430199430113e+00,3.405092338192707846e-01
1.222193732193732174e+00,3.485376631549152449e-01
1.224188034188034235e+00,3.566660737565943706e-01
1.226182336182336075e+00,3.798116814245623418e-01
1.228205128205128061e+00,3.653451000099361967e-01
1.230199430199430122e+00,3.886527917208619232e-01
1.232193732193732183e+00,3.816737196870820248e-01
1.234216524216524169e+00,3.747548820161313854e-01
1.236210826210826008e+00,3.981858837792331407e-01
1.238233618233618216e+00,3.759746239049214789e-01
1.240227920227920055e+00,3.918210590364187285e-01
1.242222222222222117e+00,4.001221659916139872e-01
1.244245014245014325e+00,3.930901661145254078e-01
1.246239316239316164e+00,4.014160796975178025e-01
1.248233618233618225e+00,4.096895422170692136e-01
1.249971509971510075e+00,4.026182264739249228e-01
1.251623931623931707e+00,4.108022954073056732e-01
1.253618233618233546e+00,4.114568561074447017e-01
1.255612535612535607e+00,4.121114168075838413e-01
1.257635327635327593e+00,4.127753283748678559e-01
1.259629629629629655e+00,4.212084382579798225e-01
1.261623931623931716e+00,4.295882701900575196e-01
1.263646723646723480e+00,4.302770394058624270e-01
1.265641025641025541e+00,4.154029220425690672e-01
1.267663817663817527e+00,4.628009633680998935e-01
1.269658119658119588e+00,4.401644228892372390e-01
1.271652421652421650e+00,4.642571300131507206e-01
1.273675213675213636e+00,4.649956145259979134e-01
1.275669515669515697e+00,4.500472743248670193e-01
1.277663817663817536e+00,4.586407652143615343e-01
1.279658119658119597e+00,4.514544258883268490e-01
1.281680911680911583e+00,4.521680527526529270e-01
1.283675213675213644e+00,4.686464323289465939e-01
1.285698005698005630e+00,4.457251223189834244e-01
1.287692307692307692e+00,4.464165059070513975e-01
1.289686609686609753e+00,4.549924069621690270e-01
1.291709401709401517e+00,4.478091499915881624e-01
1.293703703703703578e+00,4.326024918656639628e-01
1.295698005698005639e+00,4.491919171677239975e-01
1.297720797720797625e+00,4.578268122542810681e-01
1.299715099715099687e+00,4.346126468081568661e-01
1.301709401709401526e+00,4.512759448403286799e-01
1.303703703703703587e+00,4.359463989027017594e-01
1.305726495726495795e+00,4.366228017506496029e-01
1.307720797720797856e+00,4.613547422455271385e-01
1.309743589743589620e+00,4.298780643827882497e-01
1.311737891737891681e+00,4.466522849872552881e-01
1.313732193732193743e+00,4.554440001855381004e-01
1.315754985754985729e+00,4.318510973503504879e-01
1.317749287749287790e+00,4.568366442700749763e-01
1.319743589743589629e+00,4.413099876829076340e-01
1.321766381766381615e+00,4.419863905308554219e-01
1.323760683760683676e+00,4.670135017471551686e-01
1.325783475783475662e+00,4.351426025853356583e-01
1.327777777777777724e+00,4.603133160272164237e-01
1.329772079772079563e+00,4.446634215206206608e-01
1.331766381766381624e+00,4.371062846857530770e-01
1.333789173789173832e+00,4.705514828209972911e-01
1.335783475783475893e+00,4.630887272878891348e-01
1.337777777777777732e+00,4.637801108759569968e-01
1.339800569800569718e+00,4.480168553583337987e-01
1.341794871794871780e+00,4.733758370305132801e-01
1.343817663817663766e+00,4.823878966603711849e-01
1.345811965811965827e+00,4.747930396765692729e-01
1.347806267806267666e+00,5.003825752030972573e-01
1.349800569800569727e+00,4.762001912400291581e-01
1.351823361823361713e+00,4.769138181043553470e-01
1.353817663817663774e+00,4.443438558558626128e-01
1.355811965811965614e+00,4.449984165560016414e-01
1.357834757834757600e+00,4.456623281232856559e-01
1.359829059829059661e+00,4.463168888234247955e-01
1.361851851851851869e+00,4.302453009969643971e-01
1.363846153846153930e+00,4.392974681937653059e-01
1.365840455840455769e+00,4.147208928403166017e-01
1.367863247863247755e+00,4.321444612344146896e-01
1.369857549857549817e+00,4.327745143937583028e-01
1.371851851851851878e+00,4.165461803476548930e-01
1.373846153846153717e+00,3.833859364737181585e-01
1.375868945868945703e+00,3.839504174469178244e-01
1.377863247863247764e+00,3.845069479838751914e-01
1.379857549857549825e+00,3.765424898392475406e-01
1.381880341880341811e+00,3.515793744446587543e-01
1.383874643874643873e+00,3.606325620559363565e-01
1.385897435897435859e+00,3.355704171957129001e-01
1.387891737891737920e+00,3.275684060390048891e-01
1.389886039886039759e+00,3.194561813221296620e-01
1.391908831908831967e+00,3.199211067884383808e-01
1.393903133903133806e+00,2.947284667506542277e-01
1.395897435897435868e+00,2.522223487254680041e-01
1.397891737891737929e+00,2.525826957825907382e-01
1.399914529914529915e+00,2.443033447677742942e-01
1.401908831908831976e+00,2.101958747657501902e-01
1.403931623931623740e+00,2.191688155751066458e-01
1.405925925925925801e+00,1.848390957813723645e-01
1.407920227920227862e+00,1.851012895218420162e-01
1.409943019943019848e+00,1.680407476525358212e-01
1.411937321937321910e+00,1.422955461382418574e-01
1.413931623931623749e+00,1.772475252359196618e-01
1.415954415954415957e+00,1.687572017686966852e-01
1.417948717948718018e+00,1.689948879683709215e-01
1.419971509971510004e+00,1.431052344695436240e-01
1.421965811965811843e+00,1.433062209347603644e-01
1.423960113960113905e+00,1.172151393775548445e-01
1.425954415954415966e+00,1.085736538209461088e-01
1.427977207977207952e+00,1.087276713115314652e-01
1.429971509971510013e+00,8.256476137183814401e-02
1.431965811965811852e+00,5.624002425214161272e-02
1.433988603988603838e+00,4.755275903156749862e-02
1.435982905982905899e+00,3.875131470904921022e-02
1.438005698005697885e+00,3.880590160555026646e-02
1.439971509971509800e+00,2.116345606552126959e-02
1.441994301994301786e+00,2.119318531350124907e-02
1.444017094017093994e+00,3.896812463599704651e-02
1.446011396011396055e+00,1.232271874830629180e-02
1.448005698005698116e+00,3.013393908345702449e-02
1.449999999999999956e+00,3.017544180329650993e-02
1.452022792022791942e+00,1.237394707371053740e-02
1.454017094017094003e+00,3.501788027952387836e-03
1.456011396011396064e+00,2.139919644034842319e-02
1.458034188034188050e+00,3.511462612793309936e-03
1.460028490028489889e+00,-1.442570501815518789e-02
1.462051282051281875e+00,-5.507419719376616812e-03
1.464045584045583936e+00,-2.350626788677499107e-02
1.466039886039885998e+00,-1.448510017804417044e-02
1.468062678062678206e+00,3.535614767857171801e-03
1.470056980056979823e+00,-2.360278502159458835e-02
1.472051282051281884e+00,-5.545088847587014563e-03
1.474045584045583945e+00,3.550023724003224367e-03
1.476068376068376153e+00,-2.369930215641419258e-02
1.478062678062677993e+00,3.559698308844146900e-03
1.480085470085469979e+00,-2.376379938868700137e-02
1.482079772079772040e+00,-1.464358110229771470e-02
1.484074074074074101e+00,-5.590377657002365379e-03
1.486096866096866087e+00,-2.386031652350660212e-02
1.488091168091167926e+00,-5.605509699958678531e-03
1.490085470085469987e+00,-2.392435632860016870e-02
1.492079772079772049e+00,-2.395637623114696066e-02
1.494102564102564035e+00,-1.476237142207568152e-02
1.496096866096865874e+00,-1.478207597748909009e-02
1.498119658119658082e+00,-5.643286147622667524e-03
1.499971509971509853e+00,-5.650261912106074001e-03
1.501452991452991492e+00,-2.410686977311685478e-02
1.503447293447293331e+00,-1.485470133886993352e-02
1.505470085470085317e+00,-1.487468738793210413e-02
1.507464387464387379e+00,-2.420338690793645206e-02
1.509458689458689440e+00,-1.491409649875891606e-02
1.511481481481481426e+00,-2.426788414020926779e-02
1.513475783475783265e+00,-2.429990404275605281e-02
1.515470085470085326e+00,-5.708643694859511300e-03
1.517464387464387388e+00,-2.436394384784962286e-02
1.519487179487179596e+00,-1.501318226312347778e-02
1.521481481481481435e+00,-1.503288681853688635e-02
1.523504273504273421e+00,-2.446091840984846236e-02
1.525498575498575482e+00,-5.746420142523500293e-03
1.527492877492877543e+00,-2.452495821494203587e-02
1.529515669515669529e+00,-1.511226802748803777e-02
1.531509971509971368e+00,-2.458945544721484466e-02
1.533504273504273430e+00,-2.462147534976163316e-02
1.535527065527065416e+00,-1.517166318737702205e-02
1.537521367521367477e+00,-1.519136774279042541e-02
1.539544159544159463e+00,-2.471844991176046918e-02
1.541509971509971377e+00,-1.523077685361724082e-02
1.543532763532763363e+00,-2.478248971685404270e-02
1.545527065527065425e+00,-1.527046745809282000e-02
1.547549857549857633e+00,-2.484698694912685496e-02
1.549544159544159472e+00,-2.487900685167364345e-02
1.551538461538461533e+00,-5.844510123105562012e-03
1.553561253561253519e+00,-5.852129804310514209e-03
1.555555555555555580e+00,-2.497552398649324421e-02
1.557549857549857641e+00,-5.867154527813237853e-03
1.559572649572649405e+00,-1.540924382693295396e-02
1.561566951566951467e+00,-1.542894838234636253e-02
1.563589743589743453e+00,-5.889906251974502335e-03
1.565584045584045514e+00,-2.513653835358565028e-02
1.567578347578347575e+00,-1.548834354223534854e-02
1.569601139601139561e+00,3.780155337878769554e-03
1.571595441595441400e+00,-2.523305548840524756e-02
1.573589743589743462e+00,3.789761308642804888e-03
1.575584045584045523e+00,-2.529709529349882108e-02
1.577606837606837509e+00,-1.558742930659990679e-02
1.579601139601139570e+00,3.804238878865744654e-03
1.581623931623931556e+00,-2.539406985549766058e-02
1.583618233618233617e+00,-5.965351827848889080e-03
1.585612535612535678e+00,-5.972864189600250902e-03
1.587635327635327442e+00,-2.549058699031725786e-02
1.589629629629629504e+00,3.828391033929606519e-03
1.591623931623931565e+00,-1.572592418179128218e-02
1.593646723646723551e+00,-1.574591023085344932e-02
1.595641025641025612e+00,3.842868604152545851e-03
1.597663817663817598e+00,-2.565160135740967087e-02
1.599658119658119659e+00,-6.025772680220553047e-03
1.601652421652421721e+00,-6.033285041971914002e-03
1.603646723646723560e+00,-2.574766106505002941e-02
1.605669515669515546e+00,3.867020759216407283e-03
1.607663817663817607e+00,-1.588440510604482644e-02
1.609658119658119668e+00,-1.590410966145823154e-02
1.611680911680911654e+00,-6.071061489635902995e-03
1.613675213675213715e+00,-2.590867543214244242e-02
1.615698005698005701e+00,-6.086193532592217015e-03
1.617692307692307541e+00,-6.093705894343576235e-03
1.619686609686609602e+00,-2.600519256696203624e-02
1.621709401709401588e+00,3.905650484503209348e-03
