# Stretch,Cauchy_stress
1.000000000000000000e+00,2.316155182397220454e-03
1.001724949035596834e+00,-2.245574168158216005e-02
1.003737389577126216e+00,-5.978086859918361855e-03
1.005723694527207224e+00,-5.989916949785666425e-03
1.007736135068736605e+00,-3.084311109069671000e-02
1.009722440018817613e+00,-6.013732788597473712e-03
1.011734880560346994e+00,-6.025718537541978163e-03
1.013747321101876375e+00,-6.037704286486482615e-03
1.015759761643405978e+00,-6.049690035430988801e-03
1.017746066593486987e+00,1.069184799879004458e-02
1.019758507135016368e+00,2.361918951094421279e-03
1.021744812085097598e+00,-6.085335964110101525e-03
1.023783388218075352e+00,-6.097477372131807592e-03
1.025769693168156360e+00,-6.109307461999110428e-03
1.027782133709685963e+00,-6.121293210943616614e-03
1.029768438659766971e+00,-1.456616783942593814e-02
1.031780879201296353e+00,-6.145109049755423901e-03
1.033767184151377361e+00,-6.156939139622728471e-03
1.035805760284355115e+00,-1.465156630065553300e-02
1.037792065234436123e+00,-6.180910637511738241e-03
1.039804505775965504e+00,-3.182460643040013054e-02
1.041790810726046734e+00,-1.473622538126842518e-02
1.043803251267576337e+00,-2.339901407010614581e-02
1.045815691809105719e+00,-1.479315768875482523e-02
1.047828132350635100e+00,-6.240683723157062351e-03
1.049814437300716108e+00,-1.484972030593286960e-02
1.051826877842245489e+00,1.104988117180620219e-02
1.053813182792326497e+00,2.440794864602956974e-03
1.055825623333856100e+00,-6.288315400780679527e-03
1.057838063875385481e+00,-6.300301149725183979e-03
1.059850504416914863e+00,-6.312286898669687563e-03
1.061836809366995871e+00,2.459378828875497230e-03
1.063849249908525474e+00,-6.336102737481497452e-03
1.065835554858606482e+00,-6.347932827348801155e-03
1.067847995400135863e+00,1.121818971096180326e-02
1.069860435941665466e+00,-1.513327277243980452e-02
1.071872876483194847e+00,-6.383890074182316243e-03
1.073859181433275856e+00,-6.395720164049619079e-03
1.075871621974805237e+00,-1.521830154336104718e-02
1.077857926924886245e+00,2.496486223335000251e-03
1.079896503057864221e+00,2.501207882010108262e-03
1.081882808007945229e+00,1.136563128604591195e-02
1.083895248549474610e+00,1.138677281543413675e-02
1.085881553499555841e+00,2.515070187607540940e-03
1.087893994041085222e+00,1.142878130889385564e-02
1.089906434582614603e+00,1.144992283828207870e-02
1.091918875124144206e+00,2.529053561376130334e-03
1.093905180074224992e+00,1.149193133174179586e-02
1.095917620615754595e+00,2.538315276469611283e-03
1.097903925565835603e+00,-6.538926515074873838e-03
1.099916366107364984e+00,1.155508135458973781e-02
